indicator_code,indicator_name,sex,age_band,value
16,Number of people elligible for legal aid services.,Male,65+,0
16,Number of people elligible for legal aid services.,Female,10-14,0
16,Number of people elligible for legal aid services.,Female,15-19,0
16,Number of people elligible for legal aid services.,Female,20-24,0
16,Number of people elligible for legal aid services.,Female,25-29,1
16,Number of people elligible for legal aid services.,Female,30-34,0
16,Number of people elligible for legal aid services.,Female,35-39,0
16,Number of people elligible for legal aid services.,Female,40-44,0
16,Number of people elligible for legal aid services.,Female,45-49,0
16,Number of people elligible for legal aid services.,Female,50-54,0
16,Number of people elligible for legal aid services.,Female,55-59,0
16,Number of people elligible for legal aid services.,Female,60-64,0
16,Number of people elligible for legal aid services.,Female,65+,0
17,Number of people provided with legal aid services.,Male,10-14,0
17,Number of people provided with legal aid services.,Male,15-19,0
17,Number of people provided with legal aid services.,Male,20-24,0
17,Number of people provided with legal aid services.,Male,25-29,0
17,Number of people provided with legal aid services.,Male,30-34,0
17,Number of people provided with legal aid services.,Male,35-39,0
17,Number of people provided with legal aid services.,Male,40-44,0
17,Number of people provided with legal aid services.,Male,45-49,0
17,Number of people provided with legal aid services.,Male,50-54,0
17,Number of people provided with legal aid services.,Male,55-59,0
17,Number of people provided with legal aid services.,Male,60-64,0
17,Number of people provided with legal aid services.,Male,65+,0
17,Number of people provided with legal aid services.,Female,10-14,0
17,Number of people provided with legal aid services.,Female,15-19,0
17,Number of people provided with legal aid services.,Female,20-24,0
17,Number of people provided with legal aid services.,Female,25-29,0
17,Number of people provided with legal aid services.,Female,30-34,0
17,Number of people provided with legal aid services.,Female,35-39,0
17,Number of people provided with legal aid services.,Female,40-44,0
17,Number of people provided with legal aid services.,Female,45-49,0
17,Number of people provided with legal aid services.,Female,50-54,0
17,Number of people provided with legal aid services.,Female,55-59,0
17,Number of people provided with legal aid services.,Female,60-64,0
17,Number of people provided with legal aid services.,Female,65+,0
18,Number of people elligible for justice services.,Male,10-14,0
18,Number of people elligible for justice services.,Male,15-19,0
18,Number of people elligible for justice services.,Male,20-24,0
18,Number of people elligible for justice services.,Male,25-29,1
18,Number of people elligible for justice services.,Male,30-34,1
18,Number of people elligible for justice services.,Male,35-39,1
18,Number of people elligible for justice services.,Male,40-44,0
18,Number of people elligible for justice services.,Male,45-49,0
18,Number of people elligible for justice services.,Male,50-54,0
18,Number of people elligible for justice services.,Male,55-59,0
18,Number of people elligible for justice services.,Male,60-64,0
